Category	Term	Count	Percent	Fold	P-value	Bonferroni	FDR
Transcription factor	CEBPA	25	0.07692308	0.93468795	0.67383654	1	0.838
Transcription factor	CEBPB	73	0.08093126	0.98339121	0.60623263	1	0.8202
Transcription factor	CEBPD	15	0.07692308	0.93468795	0.64665782	1	0.8329
Transcription factor	CEBPZ	1	0.07142857	0.86792453	0.69591648	1	0.8472
Transcription factor	CHAT	1	0.14285714	1.73584906	0.46942728	1	0.7686
Transcription factor	CHD1	19	0.16239316	1.97323012	0.005651	1	0.288
Transcription factor	CHD2	50	0.09596929	1.16611741	0.13063939	1	0.6663
Transcription factor	CHD7	1	0.0625	0.75943396	0.74072237	1	0.8584
Transcription factor	CHD8	71	0.08533654	1.03691945	0.37883106	1	0.7348
Transcription factor	CIITA	2	0.13333333	1.62012579	0.37494605	1	0.7348
Transcription factor	CNOT3	52	0.0852459	1.03581813	0.41499012	1	0.7412
Transcription factor	CREB1	87	0.09245484	1.12341347	0.08456246	1	0.6142
Transcription factor	CREBBP	40	0.09090909	1.10463122	0.27480928	1	0.711
Transcription factor	CSNK2A1	3	0.16666667	2.02515723	0.21081501	1	0.6677
Transcription factor	CTBP1	2	0.07407407	0.90006988	0.66023322	1	0.8363
Transcription factor	CTBP2	2	0.18181818	2.20926244	0.25954896	1	0.711
Transcription factor	CTCF	102	0.08717949	1.05931301	0.21027531	1	0.6677
Transcription factor	CTCFL	88	0.10208817	1.24046754	0.00580976	1	0.288
Transcription factor	CTNNB1	6	0.07594937	0.92285646	0.63852574	1	0.8309
Transcription factor	CUX1	6	0.16216216	1.97042325	0.10309665	1	0.6467
Transcription factor	CXXC1	58	0.09339775	1.13487072	0.15066958	1	0.6663
Transcription factor	DAXX	10	0.07042254	0.85570024	0.73605571	1	0.8584
Transcription factor	DCP1A	4	0.10526316	1.27904667	0.3979767	1	0.7412
Transcription factor	DDX5	14	0.09655172	1.17319453	0.31966653	1	0.7348
Transcription factor	DEK	1	0.2	2.43018868	0.37818432	1	0.7348
Transcription factor	DMC1	6	0.06060606	0.73642081	0.8250327	1	0.8955
Transcription factor	DNMT1	3	0.17647059	2.14428413	0.19064698	1	0.6677
Transcription factor	DNMT3A	19	0.0974359	1.18393807	0.26580679	1	0.711
Transcription factor	DNMT3B	4	0.14814815	1.80013976	0.20576205	1	0.6677
Transcription factor	DUX4	7	0.04242424	0.51549457	0.98280812	1	0.9893
Transcription factor	E2F1	90	0.09625668	1.16960952	0.02814966	1	0.3954
Transcription factor	E2F2	1	0.1	1.21509434	0.58193812	1	0.8185
Transcription factor	E2F3	15	0.07109005	0.86381114	0.75762855	1	0.8686
Transcription factor	E2F4	39	0.09307876	1.13099473	0.22962181	1	0.6975
Transcription factor	E2F6	65	0.08463542	1.02840016	0.42080906	1	0.7412
Transcription factor	E2F7	1	0.03846154	0.46734398	0.88343171	1	0.9296
Transcription factor	E2F8	1	0.08333333	1.01257862	0.64342463	1	0.8309
Transcription factor	EBF1	63	0.11150442	1.35488395	0.00461525	1	0.288
Transcription factor	EED	2	0.08695652	1.05660377	0.57813092	1	0.8185
Transcription factor	EGFR	1	0.25	3.03773585	0.32687726	1	0.7348
Transcription factor	EGR1	87	0.10545455	1.28137221	0.00224655	1	0.2713
Transcription factor	EGR2	1	0.5	6.0754717	0.21130707	1	0.6677
Transcription factor	EGR3	1	0.33333333	4.05031447	0.27136559	1	0.711
Transcription factor	EHMT2	2	0.07692308	0.93468795	0.64097644	1	0.8309
Transcription factor	ELF1	85	0.09849363	1.19679049	0.02002159	1	0.368
Transcription factor	ELF3	21	0.07420495	0.90166011	0.72483375	1	0.8581
Transcription factor	ELK1	9	0.07258065	0.88192331	0.69665532	1	0.8472
Transcription factor	ELK3	5	0.10416667	1.26572327	0.37705549	1	0.7348
Transcription factor	ELK4	4	0.06153846	0.74775036	0.78380339	1	0.8795
Transcription factor	ELL2	8	0.12698413	1.54297694	0.16690684	1	0.6677
Transcription factor	EOMES	10	0.05464481	0.66398598	0.93625927	1	0.9601
Transcription factor	EP300	108	0.08626198	1.04816445	0.24103004	1	0.711
Transcription factor	EP400	6	0.07407407	0.90006988	0.66139117	1	0.8363
Transcription factor	EPAS1	8	0.21621622	2.627231	0.01783322	1	0.368
Transcription factor	EPCAM	1	0.2	2.43018868	0.37818432	1	0.7348
Transcription factor	ERG	109	0.09324209	1.13297932	0.02660756	1	0.3894
Transcription factor	ESR1	100	0.0853971	1.03765529	0.31634013	1	0.7348
Transcription factor	ESR2	3	0.08333333	1.01257862	0.57969914	1	0.8185
Transcription factor	ESRRA	11	0.07586207	0.92179571	0.6538542	1	0.8363
Transcription factor	ETS1	71	0.10518519	1.27809923	0.00948877	1	0.3274
Transcription factor	ETV1	9	0.07692308	0.93468795	0.63167077	1	0.8309
Transcription factor	ETV4	1	0.25	3.03773585	0.32687726	1	0.7348
Transcription factor	ETV5	1	0.01754386	0.21317445	0.99047043	1	0.9946
Transcription factor	EZH1	1	0.2	2.43018868	0.37818432	1	0.7348
Transcription factor	EZH2	54	0.09457093	1.149126	0.14107479	1	0.6663
Transcription factor	FGFR1	52	0.09437387	1.1467315	0.15192713	1	0.6663
Transcription factor	FLI1	87	0.09886364	1.20128645	0.016048	1	0.368
Transcription factor	FOS	62	0.09642302	1.17163062	0.08519799	1	0.6142
Transcription factor	FOSL1	23	0.07744108	0.94098215	0.65580196	1	0.8363
Transcription factor	FOSL2	32	0.08625337	1.04805981	0.42209875	1	0.7412
Transcription factor	FOXA1	97	0.07860616	0.95513899	0.79103288	1	0.8844
Transcription factor	FOXA2	39	0.07249071	0.88083047	0.83942919	1	0.903
Transcription factor	FOXD3	1	0.33333333	4.05031447	0.27136559	1	0.711
Transcription factor	FOXH1	1	0.01315789	0.15988083	0.99798643	1	0.998
Transcription factor	FOXK1	4	0.08	0.97207547	0.59799884	1	0.8185
Transcription factor	FOXM1	15	0.06666667	0.81006289	0.83392494	1	0.9011
Transcription factor	FOXO1	49	0.10537634	1.28042199	0.03777753	1	0.445
Transcription factor	FOXO3	2	0.22222222	2.70020964	0.20150615	1	0.6677
Transcription factor	FOXP1	3	0.03846154	0.46734398	0.95411473	1	0.9722
Transcription factor	FOXP2	2	0.04761905	0.57861635	0.86044224	1	0.9162
Transcription factor	FUS	3	0.125	1.51886792	0.33808515	1	0.7348
Transcription factor	FXR2	2	0.08695652	1.05660377	0.57813092	1	0.8185
Transcription factor	GABPA	67	0.08769634	1.0655932	0.28727859	1	0.724
Transcription factor	GATA1	75	0.09590793	1.16537181	0.05929796	1	0.5207
Transcription factor	GATA2	39	0.08024691	0.9750757	0.60169955	1	0.8187
Transcription factor	GATA3	81	0.08728448	1.06058881	0.2664159	1	0.711
Transcription factor	GATA4	27	0.06650246	0.80806766	0.90693276	1	0.9496
Transcription factor	GATA6	14	0.07526882	0.91458714	0.6749428	1	0.838
Transcription factor	GATAD1	6	0.13043478	1.58490566	0.19890459	1	0.6677
Transcription factor	GMEB2	2	0.03773585	0.45852617	0.93119508	1	0.957
Transcription factor	GNRH1	1	0.5	6.0754717	0.21130707	1	0.6677
Transcription factor	GRHL2	21	0.07	0.85056604	0.81337214	1	0.8893
Transcription factor	GRHL3	1	0.11111111	1.35010482	0.54735339	1	0.8036
Transcription factor	GTF2B	37	0.11746032	1.42725367	0.01860133	1	0.368
Transcription factor	GTF2F1	5	0.06756757	0.82100969	0.73159393	1	0.8584
Transcription factor	GTF2I	54	0.12471132	1.51536015	0.00095607	0.4618	0.2309
Transcription factor	HAND2	8	0.08163265	0.99191375	0.56496089	1	0.8185
Transcription factor	HCFC1	41	0.09579439	1.16399224	0.16894385	1	0.6677
Transcription factor	HDAC1	23	0.08949416	1.08743851	0.37615231	1	0.7348
Transcription factor	HDAC2	15	0.05769231	0.70101597	0.94627861	1	0.9683
Transcription factor	HDAC3	13	0.203125	2.46816038	0.00436321	1	0.288
Transcription factor	HDAC4	2	0.10526316	1.27904667	0.48256614	1	0.7808
Transcription factor	HDAC6	1	0.2	2.43018868	0.37818432	1	0.7348
Transcription factor	HEY1	84	0.10035842	1.21944952	0.01284167	1	0.368
Transcription factor	HIF1A	113	0.10089286	1.2259434	0.00069418	0.3353	0.2309
Transcription factor	HMGN3	15	0.09868421	1.19910626	0.28321105	1	0.72
Transcription factor	HNF1A	3	0.08108108	0.98521163	0.59732887	1	0.8185
Transcription factor	HNF1B	3	0.05660377	0.68778925	0.81251571	1	0.8893
Transcription factor	HNF4A	20	0.07017544	0.85269778	0.80433587	1	0.8893
Transcription factor	HNF4G	13	0.06701031	0.81423848	0.81311938	1	0.8893
Transcription factor	HOXA10	1	0.16666667	2.02515723	0.42560336	1	0.7412
Transcription factor	HOXA4	8	0.04938272	0.60004659	0.95698988	1	0.9731
Transcription factor	HOXA6	13	0.07344633	0.89244217	0.70382484	1	0.8499
Transcription factor	HOXB13	3	0.04477612	0.54407209	0.91257227	1	0.9499
Transcription factor	HOXC9	2	0.0625	0.75943396	0.74437514	1	0.8584
Transcription factor	HSF1	16	0.09580838	1.16416224	0.31236373	1	0.7348
Transcription factor	HSF2	1	0.2	2.43018868	0.37818432	1	0.7348
Transcription factor	ICE1	6	0.06976744	0.84774024	0.71453675	1	0.8543
Transcription factor	IKZF1	12	0.09756098	1.18545789	0.3269168	1	0.7348
Transcription factor	IL6	1	0.11111111	1.35010482	0.54735339	1	0.8036
Transcription factor	ILF3	1	0.5	6.0754717	0.21130707	1	0.6677
Transcription factor	ING2	28	0.08284024	1.00658703	0.52065053	1	0.7859
Transcription factor	ING5	9	0.07826087	0.9509434	0.61183905	1	0.8203
Transcription factor	INO80	1	0.2	2.43018868	0.37818432	1	0.7348
Transcription factor	INTS11	5	0.06024096	0.73198454	0.81379431	1	0.8893
Transcription factor	INTS13	4	0.1	1.21509434	0.43336572	1	0.7423
Transcription factor	INTS3	9	0.08035714	0.97641509	0.58115201	1	0.8185
Transcription factor	IRF1	56	0.08408408	1.02170095	0.45564297	1	0.7615
Transcription factor	IRF2	3	0.10344828	1.25699414	0.44412629	1	0.7527
Transcription factor	IRF3	1	0.03448276	0.41899805	0.90836032	1	0.9496
Transcription factor	IRF4	14	0.07734807	0.93985198	0.63603803	1	0.8309
Transcription factor	JARID2	16	0.08888889	1.08008386	0.42061572	1	0.7412
Transcription factor	JMJD1C	33	0.11827957	1.43720836	0.02432062	1	0.38
Transcription factor	JMJD6	1	0.07142857	0.86792453	0.69591648	1	0.8472
Transcription factor	JUN	61	0.08776978	1.06648568	0.30074245	1	0.7348
Transcription factor	JUNB	5	0.06944444	0.84381551	0.71020415	1	0.8523
Transcription factor	JUND	73	0.08891596	1.08041275	0.22508114	1	0.6935
Transcription factor	KAT2A	1	0.2	2.43018868	0.37818432	1	0.7348
Transcription factor	KAT2B	2	0.33333333	4.05031447	0.11883586	1	0.6663
Transcription factor	KAT5	1	0.16666667	2.02515723	0.42560336	1	0.7412
Transcription factor	KAT7	17	0.07657658	0.93047765	0.65922348	1	0.8363
Transcription factor	KAT8	1	0.125	1.51886792	0.50992707	1	0.7837
Transcription factor	KDM1A	27	0.10756972	1.30707359	0.09886418	1	0.6367
Transcription factor	KDM2B	88	0.09462366	1.14976669	0.04786474	1	0.4581
Transcription factor	KDM3A	3	0.08108108	0.98521163	0.59732887	1	0.8185
Transcription factor	KDM3B	1	0.33333333	4.05031447	0.27136559	1	0.711
Transcription factor	KDM4A	14	0.06603774	0.80242079	0.83622517	1	0.9016
Transcription factor	KDM4C	25	0.06510417	0.79107704	0.91791978	1	0.9514
Transcription factor	KDM5A	2	0.15384615	1.86937591	0.31779386	1	0.7348
Transcription factor	KDM5B	107	0.0963964	1.17130716	0.00919195	1	0.3274
Transcription factor	KDM5C	3	0.12	1.45811321	0.35959603	1	0.7348
Transcription factor	KDM5D	5	0.16129032	1.95982958	0.13319259	1	0.6663
Transcription factor	KDM6A	7	0.06796117	0.82579227	0.74647224	1	0.8584
Transcription factor	KDM6B	6	0.08955224	1.08814418	0.48499227	1	0.7808
Transcription factor	KLF1	77	0.09935484	1.20725502	0.02517461	1	0.38
Transcription factor	KLF11	43	0.086	1.04498113	0.40526403	1	0.7412
Transcription factor	KLF3	2	0.5	6.0754717	0.07034199	1	0.5834
Transcription factor	KLF4	8	0.07272727	0.88370497	0.68885082	1	0.8472
Transcription factor	KLF5	24	0.08421053	1.02323734	0.49037927	1	0.7837
Transcription factor	KLF6	5	0.13157895	1.59880834	0.22490486	1	0.6935
Transcription factor	KLF8	1	0.5	6.0754717	0.21130707	1	0.6677
Transcription factor	KMT2A	51	0.08031496	0.97590254	0.61192567	1	0.8203
Transcription factor	KMT2C	8	0.06015038	0.73088381	0.85727599	1	0.9162
Transcription factor	KMT2D	61	0.09713376	1.18026679	0.07844798	1	0.6014
Transcription factor	L3MBTL3	1	0.2	2.43018868	0.37818432	1	0.7348
Transcription factor	LARP7	91	0.10122358	1.22996201	0.00596173	1	0.288
Transcription factor	LDB1	7	0.06862745	0.83388827	0.7377016	1	0.8584
Transcription factor	LEF1	1	0.03703704	0.45003494	0.89241153	1	0.937
Transcription factor	LEO1	24	0.09448819	1.14812064	0.27744832	1	0.7128
Transcription factor	LMNA	9	0.06081081	0.73890872	0.86115629	1	0.9162
Transcription factor	LMNB1	1	0.0625	0.75943396	0.74072237	1	0.8584
Transcription factor	LMO2	11	0.1047619	1.27295597	0.26304197	1	0.711
Transcription factor	LMO3	7	0.14	1.70113208	0.137297	1	0.6663
Transcription factor	LMTK3	2	0.125	1.51886792	0.40281136	1	0.7412
Transcription factor	LYL1	10	0.06993007	0.84971632	0.74365659	1	0.8584
Transcription factor	MAF	9	0.08490566	1.03168387	0.51690664	1	0.7857
Transcription factor	MAFF	11	0.05789474	0.70347567	0.91478631	1	0.9502
Transcription factor	MAFK	28	0.08832808	1.07326945	0.38182974	1	0.7377
Transcription factor	MAPK1	5	0.125	1.51886792	0.25403822	1	0.711
Transcription factor	MAPK14	1	0.16666667	2.02515723	0.42560336	1	0.7412
Transcription factor	MAX	116	0.0881459	1.0710558	0.11941542	1	0.6663
Transcription factor	MAZ	87	0.09786277	1.18912494	0.02120009	1	0.368
Transcription factor	MBD2	1	0.14285714	1.73584906	0.46942728	1	0.7686
Transcription factor	MBD3	75	0.09236453	1.1223162	0.11976554	1	0.6663
Transcription factor	MECOM	1	0.5	6.0754717	0.21130707	1	0.6677
Transcription factor	MECP2	4	0.16	1.94415094	0.17400953	1	0.6677
Transcription factor	MED1	79	0.09529554	1.15793067	0.05815797	1	0.5202
Transcription factor	MED12	4	0.15384615	1.86937591	0.18967008	1	0.6677
Transcription factor	MED26	8	0.12698413	1.54297694	0.16690684	1	0.6677
Transcription factor	MEF2A	14	0.11764706	1.42952275	0.12791176	1	0.6663
Transcription factor	MEF2B	10	0.09615385	1.16835994	0.36558901	1	0.7348
Transcription factor	MEF2C	4	0.11111111	1.35010482	0.36226573	1	0.7348
Transcription factor	MEIS1	1	0.11111111	1.35010482	0.54735339	1	0.8036
Transcription factor	MEN1	2	0.33333333	4.05031447	0.11883586	1	0.6663
Transcription factor	MITF	16	0.10526316	1.27904667	0.20066081	1	0.6677
Transcription factor	MKL1	1	0.2	2.43018868	0.37818432	1	0.7348
Transcription factor	MLL-AF4	1	0.06666667	0.81006289	0.71920612	1	0.8557
Transcription factor	MLLT3	1	0.25	3.03773585	0.32687726	1	0.7348
Transcription factor	MORC2	1	0.11111111	1.35010482	0.54735339	1	0.8036
Transcription factor	MRF4	2	0.66666667	8.10062893	0.04931887	1	0.4581
Transcription factor	MTA3	4	0.08163265	0.99191375	0.58279173	1	0.8185
Transcription factor	MUC1	1	0.5	6.0754717	0.21130707	1	0.6677
Transcription factor	MXI1	67	0.09530583	1.15805577	0.08770809	1	0.6198
Transcription factor	MYB	56	0.08641975	1.05008153	0.36297839	1	0.7348
Transcription factor	MYBL2	5	0.04347826	0.52830189	0.95951244	1	0.9736
Transcription factor	MYC	114	0.09612142	1.16796589	0.00569558	1	0.288
Transcription factor	MYCN	72	0.09703504	1.17906728	0.05286757	1	0.4818
Transcription factor	MYF5	2	0.66666667	8.10062893	0.04931887	1	0.4581
Transcription factor	MYH11	17	0.0651341	0.79144076	0.87201551	1	0.9236
Transcription factor	MYOD1	34	0.10658307	1.29508488	0.07409374	1	0.5867
Transcription factor	MYOG	2	0.33333333	4.05031447	0.11883586	1	0.6663
Transcription factor	NANOG	10	0.07462687	0.90678682	0.67011922	1	0.8371
Transcription factor	NCAPG	1	0.05	0.60754717	0.8115914	1	0.8893
Transcription factor	NCOA1	3	0.08823529	1.07214206	0.54303799	1	0.8036
Transcription factor	NCOA4	1	0.33333333	4.05031447	0.27136559	1	0.711
Transcription factor	NCOR1	12	0.1025641	1.2462506	0.27161712	1	0.711
Transcription factor	NCOR2	5	0.09433962	1.14631541	0.45480665	1	0.7615
Transcription factor	NELFA	22	0.07971014	0.96855346	0.5991923	1	0.8185
Transcription factor	NELFE	43	0.09794989	1.19018352	0.12676866	1	0.6663
Transcription factor	NEUROD1	1	0.07692308	0.93468795	0.67070831	1	0.8371
Transcription factor	NF-Y	2	0.33333333	4.05031447	0.11883586	1	0.6663
Transcription factor	NFATC1	24	0.10434783	1.26792453	0.14562351	1	0.6663
Transcription factor	NFATC3	2	0.28571429	3.47169811	0.14542897	1	0.6663
Transcription factor	NFE2	70	0.10463378	1.27139916	0.01156042	1	0.368
Transcription factor	NFE2L2	21	0.11797753	1.43353827	0.0700293	1	0.5834
Transcription factor	NFIC	41	0.09297052	1.12967954	0.22352902	1	0.6935
Transcription factor	NFKB1	41	0.12238806	1.48713039	0.00677017	1	0.2973
Transcription factor	NFKB2	16	0.11111111	1.35010482	0.15048089	1	0.6663
Transcription factor	NFYA	36	0.08977556	1.09085776	0.31786299	1	0.7348
Transcription factor	NFYB	33	0.0835443	1.01514211	0.49684348	1	0.7837
Transcription factor	NFYC	7	0.09333333	1.13408805	0.43338839	1	0.7423
Transcription factor	NIPBL	20	0.12738854	1.54789088	0.04194192	1	0.4502
Transcription factor	NKX2-1	13	0.06220096	0.75580031	0.88250812	1	0.9296
Transcription factor	NKX2-5	1	0.125	1.51886792	0.50992707	1	0.7837
Transcription factor	NKX3-1	3	0.06818182	0.82847341	0.70687048	1	0.8514
Transcription factor	NME2	3	0.11111111	1.35010482	0.40226983	1	0.7412
Transcription factor	NOTCH1	80	0.09708738	1.17970324	0.03699115	1	0.445
Transcription factor	NOTCH3	1	0.33333333	4.05031447	0.27136559	1	0.711
Transcription factor	NR1H2	6	0.08955224	1.08814418	0.48499227	1	0.7808
Transcription factor	NR1H3	9	0.05487805	0.66682006	0.92460802	1	0.9542
Transcription factor	NR1H4	1	0.08333333	1.01257862	0.64342463	1	0.8309
Transcription factor	NR2C2	5	0.0617284	0.75005823	0.79746805	1	0.8893
Transcription factor	NR2F1	38	0.09819121	1.19311589	0.14433971	1	0.6663
Transcription factor	NR2F2	40	0.08421053	1.02323734	0.46865202	1	0.7686
Transcription factor	NR3B3	1	0.5	6.0754717	0.21130707	1	0.6677
Transcription factor	NR3C1	58	0.07945205	0.96541742	0.65793898	1	0.8363
Transcription factor	NR3C2	1	0.33333333	4.05031447	0.27136559	1	0.711
Transcription factor	NR4A1	7	0.1	1.21509434	0.3686987	1	0.7348
Transcription factor	NRF1	57	0.08649469	1.05099207	0.35794347	1	0.7348
Transcription factor	NSD2	1	0.2	2.43018868	0.37818432	1	0.7348
Transcription factor	NUP98	1	0.25	3.03773585	0.32687726	1	0.7348
Transcription factor	ORC1	1	0.1	1.21509434	0.58193812	1	0.8185
Transcription factor	OTX2	11	0.07971014	0.96855346	0.59056768	1	0.8185
Transcription factor	PAF1	6	0.07792208	0.94682676	0.61478877	1	0.8203
Transcription factor	PARP1	1	0.33333333	4.05031447	0.27136559	1	0.711
Transcription factor	PAX5	32	0.11895911	1.44546539	0.02484164	1	0.38
Transcription factor	PBX1	37	0.07489879	0.9100909	0.76690577	1	0.8716
Transcription factor	PBX3	33	0.0744921	0.90514928	0.76415086	1	0.8716
Transcription factor	PDGF	1	0.5	6.0754717	0.21130707	1	0.6677
Transcription factor	PDGFA	1	0.5	6.0754717	0.21130707	1	0.6677
Transcription factor	PDX1	2	0.05405405	0.65680775	0.8101209	1	0.8893
Transcription factor	PELP1	1	0.2	2.43018868	0.37818432	1	0.7348
Transcription factor	PGR	27	0.0851735	1.0349384	0.46129761	1	0.7683
Transcription factor	PHF6	1	0.33333333	4.05031447	0.27136559	1	0.711
Transcription factor	PHF8	84	0.09699769	1.17861345	0.03123968	1	0.4191
Transcription factor	PHOX2B	2	0.04081633	0.49595687	0.91064253	1	0.9499
Transcription factor	PIAS1	5	0.07575758	0.92052601	0.63919055	1	0.8309
Transcription factor	PKM	1	0.5	6.0754717	0.21130707	1	0.6677
Transcription factor	PLK1	1	0.5	6.0754717	0.21130707	1	0.6677
Transcription factor	PML	38	0.09069212	1.10199487	0.28778663	1	0.724
Transcription factor	POU2AF1	1	0.2	2.43018868	0.37818432	1	0.7348
Transcription factor	POU2F1	1	0.16666667	2.02515723	0.42560336	1	0.7412
Transcription factor	POU2F2	33	0.09734513	1.1828352	0.18071468	1	0.6677
Transcription factor	POU5F1	5	0.06410256	0.77890663	0.77092857	1	0.872
Transcription factor	PPARA	1	0.16666667	2.02515723	0.42560336	1	0.7412
Transcription factor	PPARG	30	0.08287293	1.00698426	0.51846778	1	0.7857
Transcription factor	PRAME	3	0.06122449	0.74393531	0.77021375	1	0.872
Transcription factor	PRDM1	4	0.11111111	1.35010482	0.36226573	1	0.7348
Transcription factor	PRDM11	3	0.04225352	0.51342014	0.9305597	1	0.957
Transcription factor	PRDM14	6	0.14634146	1.77818684	0.14209987	1	0.6663
Transcription factor	PRDM5	1	0.125	1.51886792	0.50992707	1	0.7837
Transcription factor	PRKDC	1	0.25	3.03773585	0.32687726	1	0.7348
Transcription factor	PROX1	1	0.03846154	0.46734398	0.88343171	1	0.9296
Transcription factor	PTEN	1	0.11111111	1.35010482	0.54735339	1	0.8036
Transcription factor	RAD21	79	0.08807135	1.07014998	0.23909726	1	0.711
Transcription factor	RARA	55	0.09734513	1.1828352	0.09314586	1	0.6198
Transcription factor	RB1	8	0.11940299	1.45085891	0.20604434	1	0.6677
Transcription factor	RBBP5	28	0.07368421	0.89533267	0.76585239	1	0.8716
Transcription factor	RBL1	2	0.18181818	2.20926244	0.25954896	1	0.711
Transcription factor	RBL2	4	0.0952381	1.1572327	0.46818604	1	0.7686
Transcription factor	RBPJ	10	0.06097561	0.74091118	0.86997464	1	0.9235
Transcription factor	RCOR1	30	0.0887574	1.0784861	0.36457892	1	0.7348
Transcription factor	RELA	83	0.09367946	1.13829379	0.0724741	1	0.5834
Transcription factor	RELB	4	0.18181818	2.20926244	0.13008601	1	0.6663
Transcription factor	REST	53	0.08562197	1.04038772	0.39905792	1	0.7412
Transcription factor	RFX5	21	0.09130435	1.10943396	0.35105361	1	0.7348
Transcription factor	RING1	1	0.05555556	0.67505241	0.77896161	1	0.8787
Transcription factor	RNF2	4	0.09756098	1.18545789	0.45086109	1	0.7599
Transcription factor	RUNX1	106	0.09201389	1.11805556	0.04759344	1	0.4581
Transcription factor	RUNX1T1	29	0.1010453	1.22779567	0.15162538	1	0.6663
Transcription factor	RUNX2	13	0.11818182	1.43602058	0.13607659	1	0.6663
Transcription factor	RUNX3	70	0.09887006	1.20136446	0.03971255	1	0.4491
Transcription factor	RXRA	13	0.08552632	1.03922542	0.49099904	1	0.7837
Transcription factor	RYBP	1	0.16666667	2.02515723	0.42560336	1	0.7412
